Counties,Overall,Grocery,Health,Housing,Utilities,Transportation,Miscellaneous
United States,100,100,100,100,100,100,100
"Alameda, California",202,118.4,112,396,96,106,110
"Alpine, California",131,102.6,114,186,92,106,105
"Amador, California",119,102.6,114,148,92,106,105
"Butte, California",112,101.5,105,134,94,105,99
"Calaveras, California",118,102.6,114,145,92,106,105
"Colusa, California",105,102.6,114,104,92,106,105
"Contra Costa, California",168,118.5,111,289,95,107,112
"Del Norte, California",104,100.4,107,112,96,105,97
"El Dorado, California",141,110,108,211,111,112,102
"Fresno, California",108,105,105,110,121,111,104
"Glenn, California",114,102.6,114,133,92,106,105
"Humboldt, California",116,99.6,106,146,95,107,99
"Imperial, California",100,99.8,105,98,95,107,98
"Inyo, California",117,100.2,107,151,93,107,97
"Kern, California",102,101.2,106,98,112,108,101
"Kings, California",98,101.4,106,91,94,107,98
"Lake, California",114,116.1,114,115,99,111,115
"Lassen, California",96,101.3,105,84,95,107,97
"Los Angeles, California",156,95.5,93,283,110,102,91
"Madera, California",104,100.3,105,110,94,107,98
"Marin, California",248,118.5,111,539,95,107,112
"Mariposa, California",111,102.6,114,125,92,106,105
"Mendocino, California",138,116.8,114,192,98,111,114
"Merced, California",104,99.8,107,111,95,106,97
"Modoc, California",102,102.6,114,97,92,106,105
"Mono, California",133,102.6,114,192,92,106,105
"Monterey, California",148,100.4,107,250,95,105,96
"Napa, California",175,116.6,116,308,100,112,114
"Nevada, California",151,138.3,114,206,125,120,126
"Orange, California",187,106.3,108,356,110,113,104
"Placer, California",145,110,108,224,111,112,102
"Plumas, California",110,102.6,114,121,92,106,105
"Riverside, California",126,108.3,100,173,110,110,98
"Sacramento, California",127,111.8,108,167,114,108,103
"San Benito, California",160,117,116,263,127,110,104
"San Bernardino, California",121,108,103,153,107,113,100
"San Diego, California",160,106.8,111,273,101,112,103
"San Francisco, California",275,121.6,115,610,96,115,119
"San Joaquin, California",122,105.1,110,156,98,108,105
"San Luis Obispo, California",162,101,105,292,94,107,97
"San Mateo, California",258,118.5,111,571,95,107,112
"Santa Barbara, California",164,101.9,105,297,95,106,97
"Santa Clara, California",242,120.4,114,515,128,112,105
"Santa Cruz, California",194,101.1,105,391,93,105,97
"Shasta, California",107,99.7,107,119,94,106,98
"Sierra, California",110,102.6,114,121,92,106,105
"Siskiyou, California",98,102.6,114,83,92,106,105
"Solano, California",139,116.2,114,193,99,112,114
"Sonoma, California",171,117.6,116,293,100,111,114
"Stanislaus, California",118,114.4,109,136,111,111,104
"Sutter, California",116,113.5,108,130,110,110,105
"Tehama, California",97,100.1,105,90,95,105,98
"Trinity, California",112,102.6,114,126,92,106,105
"Tulare, California",99,101.4,105,96,95,107,97
"Tuolumne, California",126,114.3,109,163,111,111,104
"Ventura, California",159,99.7,105,285,95,104,97
"Yolo, California",137,110,108,200,111,112,102
"Yuba, California",110,112,109,113,111,109,106
